channel name,channel id
BSI Academy,UCc_vVhAgW5425BFp0mDuirw
THNKR,UCYNlsJPY-IrNhZqCOeApbEw
 Don't Memorise,UCiTjCIT_9EXV1Wp1cY0zaUA
Ekeeda,UCltVEZ6GecWntoZ19FvaWhQ
L & T - Learning Technology, UCFBgs2fL5-u-29up4_JF8kw
 The Backyard Scientist,UC06E4Y_-ybJgBUMtXx8uNNw
Seeker,UCzWQYUVCpZqtN93H8RR44Qw
CGPGrey,UC2C_jShtL725hvbm1arSV9w
 vlogbrothers,UCGaVdbSav8xWuFWTadK6loA
 MIT OpenCourseWare,UCEBb1b_L6zDS3xTUrIALZOw
Smart Learning for All,UCobgOt3poNKlml3Y5TnVU8Q
Vox,UCLXo7UDZvByw2ixzpQCufnA
 Khan academy,UC4a-Gbdw7vOaccHmFo40b9g
