channelTitle,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,categoryId
CrashCourse,World War II Civilians and Soldiers: Crash Course European History #39,130735,5648,148,0,557,PT14M25S,27
CrashCourse,World War II: Crash Course European History #38,252294,7708,274,0,880,PT16M15S,27
CrashCourse,Post-World War I Recovery: Crash Course European History #36,204517,6627,173,0,709,PT14M48S,27
CrashCourse,Russian Revolution and Civil War: Crash Course European History #35,275461,8045,545,0,1123,PT14M16S,27
CrashCourse,"WWI's Civilians, the Homefront, and an Uneasy Peace: Crash Course European History #34",208815,6032,164,0,537,PT14M7S,27
CrashCourse,The Future of Artificial Intelligence: Crash Course AI #20,101274,2408,94,0,194,PT11M,27
CrashCourse,Modern Life: Crash Course European History #30,166150,5071,222,0,582,PT14M33S,27
CrashCourse,Algorithmic Bias and Fairness: Crash Course AI #18,46089,1224,145,0,176,PT11M20S,27
CrashCourse,Migration: Crash Course European History #29,192967,5766,192,0,613,PT13M58S,27
CrashCourse,Expansion and Resistance: Crash Course European History #28,176515,5201,284,0,819,PT13M14S,27
CrashCourse,Understanding Financial Statements and Accounting: Crash Course Entrepreneurship #15,70397,2080,49,0,106,PT12M43S,27
CrashCourse,Italian and German Unification: Crash Course European History #27,306519,8084,188,0,699,PT14M22S,27
CrashCourse,How YouTube knows what you should watch: Crash Course AI #15,46230,1832,41,0,109,PT10M52S,27
CrashCourse,Revolutions of 1848: Crash Course European History #26,256180,6627,165,0,704,PT16M25S,27
CrashCourse,Reform and Revolution 1815-1848: Crash Course European History #25,222421,5665,95,0,393,PT14M6S,27
CrashCourse,The Industrial Revolution: Crash Course European History #24,349310,8004,146,0,714,PT17M6S,27
CrashCourse,The Congress of Vienna: Crash Course European History #23,256295,6405,92,0,407,PT14M1S,27
CrashCourse,The French Revolution: Crash Course European History #21,340421,8441,211,0,793,PT15M29S,27
CrashCourse,Enlightened Monarchs: Crash Course European History #19,253159,6460,94,0,436,PT13M41S,27
CrashCourse,The Enlightenment: Crash Course European History #18,409847,9304,234,0,608,PT16M23S,27
CrashCourse,How to make an AI read your handwriting (LAB) : Crash Course Ai #5,75481,2701,47,0,154,PT17M17S,27
CrashCourse,Training Neural Networks: Crash Course AI #4,78482,2526,45,0,128,PT12M29S,27
CrashCourse,Neural Networks and Deep Learning: Crash Course AI #3,132527,3694,94,0,182,PT12M23S,27
CrashCourse,Eastern Europe Consolidates: Crash Course European History #16,280540,7476,288,0,818,PT15M18S,27
CrashCourse,Crash Course Artificial Intelligence Preview,216803,9985,143,0,671,PT3M50S,27
CrashCourse,Absolute Monarchy: Crash Course European History #13,402966,8470,164,0,609,PT13M16S,27
CrashCourse,The 17th Century Crisis: Crash Course European History #11,478677,10851,328,0,825,PT13M30S,27
CrashCourse,"Commerce, Agriculture, and Slavery: Crash Course European History #8",331517,7993,279,0,608,PT15M34S,27
CrashCourse,The Protestant Reformation: Crash Course European History #6,514737,10923,229,0,915,PT15M44S,27
CrashCourse,The Age of Exploration: Crash Course European History #4,598672,10859,328,0,1008,PT15M40S,27
CrashCourse,The Biggest Problems We're Facing Today & The Future of Engineering: Crash Course Engineering #46,89680,2361,120,0,186,PT10M25S,27
CrashCourse,Florence and the Renaissance: Crash Course European History #2,725247,15709,243,0,919,PT14M34S,27
CrashCourse,Medieval Europe: Crash Course European History #1,1133011,27906,624,0,2039,PT14M9S,27
CrashCourse,The Secret to Business Writing: Crash Course Business - Soft Skills #3,91072,2925,69,0,140,PT11M44S,27
CrashCourse,Social Media: Crash Course Navigating Digital Information #10,86567,3622,47,0,284,PT16M51S,27
CrashCourse,Ecology: Crash Course History of Science #38,87109,2750,27,0,155,PT12M23S,27
CrashCourse,Evaluating Photos & Videos: Crash Course Navigating Digital Information #7,70424,2898,49,0,250,PT13M19S,27
CrashCourse,Evaluating Evidence: Crash Course Navigating Digital Information #6,89810,3352,59,0,323,PT13M21S,27
CrashCourse,The Computer and Turing: Crash Course History of Science #36,113763,3764,60,0,253,PT11M54S,27
CrashCourse,Using Wikipedia: Crash Course Navigating Digital Information #5,131088,4880,69,0,396,PT14M16S,27
CrashCourse,How Engineering Robots Works: Crash Course Engineering #33,78512,2006,57,0,133,PT11M2S,27
CrashCourse,Check Yourself with Lateral Reading: Crash Course Navigating Digital Information #3,175388,5654,122,0,411,PT13M52S,27
CrashCourse,Bertolt Brecht and Epic Theater: Crash Course Theater #44,91573,2472,34,0,133,PT11M51S,27
CrashCourse,Introduction to Crash Course Navigating Digital Information #1,228961,10676,127,0,803,PT13M34S,27
CrashCourse,Preventing Flint - Environmental Engineering: Crash Course Engineering #29,82127,2321,52,0,162,PT10M14S,27
CrashCourse,Crash Course Navigating Digital Information Preview,153017,5316,65,0,453,PT5M12S,27
CrashCourse,Electricity: Crash Course History of Science #27,153097,3410,148,0,432,PT12M33S,27
CrashCourse,ANOVA: Crash Course Statistics #33,135970,2127,113,0,138,PT13M17S,27
CrashCourse,Eugenics and Francis Galton: Crash Course History of Science #23,195834,4633,263,0,907,PT12M21S,27
CrashCourse,Regression: Crash Course Statistics #32,181305,3355,107,0,172,PT12M40S,27
CrashCourse,Darwin and Natural Selection: Crash Course History of Science #22,346398,6650,212,0,709,PT13M10S,27
CrashCourse,Earth Science: Crash Course History of Science #20,233109,4469,94,0,359,PT13M44S,27
CrashCourse,Biology Before Darwin: Crash Course History of Science #19,233561,5025,86,0,322,PT12M51S,27
CrashCourse,"Heat Engines, Refrigerators, & Cycles: Crash Course Engineering #11",104611,2229,67,0,141,PT10M44S,27
CrashCourse,The Law of Conservation: Crash Course Engineering #7,144320,3122,87,0,144,PT10M6S,27
CrashCourse,Cathedrals and Universities: Crash Course History of Science #11,221718,5106,90,0,398,PT12M30S,27
CrashCourse,Biomedical & Industrial Engineering: Crash Course Engineering #6,222052,5289,74,0,297,PT10M27S,27
CrashCourse,The History of Chemical Engineering: Crash Course Engineering #5,196733,4522,81,0,269,PT9M,27
CrashCourse,Ancient & Medieval Medicine: Crash Course History of Science #9,365219,7877,152,0,411,PT12M6S,27
CrashCourse,Medieval China: Crash Course History of Science #8,446072,8981,220,0,1032,PT12M35S,27
CrashCourse,What is Engineering?: Crash Course Engineering #1,577195,15114,327,0,1191,PT9M37S,27
CrashCourse,The Medieval Islamicate World: Crash Course History of Science #7,593230,17700,620,0,3079,PT13M4S,27
CrashCourse,Crash Course Engineering Preview,386868,8595,92,0,740,PT2M10S,27
CrashCourse,Roman Engineering: Crash Course History of Science #6,517503,10389,354,0,793,PT12M29S,27
CrashCourse,The Americas and Time Keeping: Crash Course History of Science #5,305174,6044,146,0,518,PT12M49S,27
CrashCourse,Just Say Noh. But Also Say Kyogen: Crash Course Theater #11,102452,2485,46,0,154,PT12M55S,27
CrashCourse,Plato and Aristotle: Crash Course History of Science #3,657389,12211,286,0,645,PT12M29S,27
CrashCourse,The Presocratics: Crash Course History of Science #2,462016,9936,140,0,603,PT12M32S,27
CrashCourse,The Death and Resurrection of Theater as...Liturgical Drama: Crash Course Theater #8,85858,1859,39,0,131,PT12M34S,27
CrashCourse,Intro to History of Science: Crash Course History of Science #1,575068,15311,276,0,1039,PT12M20S,27
CrashCourse,Crash Course History of Science Preview,506312,9187,86,0,647,PT2M3S,27
CrashCourse,The Shape of Data: Distributions: Crash Course Statistics #7,251454,3988,86,0,197,PT11M23S,27
CrashCourse,"History of Media Literacy, Part 1: Crash Course Media Literacy #2",160231,3681,49,0,197,PT9M51S,27
CrashCourse,Tragedy Lessons from Aristotle: Crash Course Theater #3,219572,4248,84,0,214,PT12M30S,27
CrashCourse,Charts Are Like Pasta - Data Visualization Part 1: Crash Course Statistics #5,196034,3568,113,0,201,PT10M22S,27
CrashCourse,What Is Theater? Crash Course Theater #1,295941,6749,124,0,481,PT14M7S,27
CrashCourse,"Mean, Median, and Mode: Measures of Central Tendency: Crash Course Statistics #3",380756,6679,141,0,345,PT11M23S,27
CrashCourse,"Pride and Prejudice, Part 1: Crash Course Literature 411",465574,12897,131,0,536,PT11M44S,27
