channelId,videoId,channelTitle,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,categoryId
UCRyRMkYk4HzNPeSnsLHm-oQ,YZCiE4RdBT4,Kelvin Academy,10th DAY IN SELF-ISOLATION. WHAT I DO IN MY BEDROOM.,96,12,0,0,8,27
UCRyRMkYk4HzNPeSnsLHm-oQ,OHQGEBLizaY,Kelvin Academy,TRICKY INVERSE OF A FUNCTION PROBLEM SOLVED - 4 OF 4,10,3,0,0,1,27
UCRyRMkYk4HzNPeSnsLHm-oQ,iQuea9Yep8Q,Kelvin Academy,TRICKY INVERSE OF A FUNCTION PROBLEM SOLVED - 3 OF 4,5,1,0,0,0,27
UCRyRMkYk4HzNPeSnsLHm-oQ,ExTI0_aZ-AE,Kelvin Academy,TRICKY INVERSE OF A FUNCTION PROBLEM SOLVED - 2 OF 4,5,2,0,0,0,27
UCRyRMkYk4HzNPeSnsLHm-oQ,pkgXUzuIi5E,Kelvin Academy,TRICKY INVERSE OF A FUNCTION PROBLEM SOLVED - 1 OF 4,6,3,0,0,0,27
UCRyRMkYk4HzNPeSnsLHm-oQ,h8oB67_ludk,Kelvin Academy,HOW EXPONENTIAL AND NATURAL LOG PLAY OUT IN MATHEMATICS (Recommended),11,2,0,0,3,27
UCRyRMkYk4HzNPeSnsLHm-oQ,WGu7pZJjouw,Kelvin Academy,HOW TO SOLVE BASIC INVERSE OF A FUNCTION - 4 OF 4,2,0,0,0,0,27
UCRyRMkYk4HzNPeSnsLHm-oQ,54u7_TBjXGU,Kelvin Academy,HOW TO SOLVE BASIC INVERSE OF A FUNCTION - 3 OF 4,2,0,0,0,0,27
UCRyRMkYk4HzNPeSnsLHm-oQ,gXhBNnJca_U,Kelvin Academy,HOW TO SOLVE BASIC INVERSE OF A FUNCTION - 2 OF 4,3,0,0,0,0,27
UCRyRMkYk4HzNPeSnsLHm-oQ,7H7E7e5lqPM,Kelvin Academy,HOW TO SOLVE BASIC INVERSE OF A FUNCTION - 1 OF 4,1,0,0,0,0,27
