channelTitle,videoId,channelId,title,viewCount,likeCount,dislikeCount,commentCount,time,commentScore,Y
Oxford Education,8wvBSa_uBkw,UCnzdR4g0Ykb9hU9FQR4W0TA,MyMaths - online maths activities at school and at home,967,4,1,0,99,0.16605,634.0332100000002
Oxford Education,qirN3zFJWCE,UCnzdR4g0Ykb9hU9FQR4W0TA,Phonics Screening Check tips,878,1,1,1,127,0.807,430.70876999999996
Oxford Education,sqRmidn9i7c,UCnzdR4g0Ykb9hU9FQR4W0TA,How to teach basic addition and subtraction with Numicon,340,2,0,1,54,0.6588,224.33176
Oxford Education,sDBpqTCDYpE,UCnzdR4g0Ykb9hU9FQR4W0TA,Oxford Mathematics for the Caribbean Teacher Training: FAQs,106,0,0,1,497,0.8591,63.34773
Oxford Education,43DjixEMk5E,UCnzdR4g0Ykb9hU9FQR4W0TA,Ali Sparkes author interview,264,4,1,2,989,0.0,152.85000000000002
Oxford Education,33muO1wGv8w,UCnzdR4g0Ykb9hU9FQR4W0TA,Project X Hero Academy case study at Ryders Hayes Primary School,614,7,2,2,180,0.20995,303.28309450000006
Oxford Education,IG-fhwAPFJw,UCnzdR4g0Ykb9hU9FQR4W0TA,Our Heart is Education | Oxford Education | Oxford University Press,2840,10,0,1,92,0.5859,1424.86577
Oxford Education,hr9wirOTVIw,UCnzdR4g0Ykb9hU9FQR4W0TA,Oxford Reading Buddy Platform Walkthrough,4542,17,3,2,249,0.3062,2967.51124
Oxford Education,13SQxda-OTA,UCnzdR4g0Ykb9hU9FQR4W0TA,Revise with AQA A Level MFL Kerboodle,147,1,0,1,126,0.6705,76.64115
Oxford Education,qNT7Qidomq0,UCnzdR4g0Ykb9hU9FQR4W0TA,Kerboodle student: Using Kerboodle,15051,44,20,1,128,0.0,7383.07
Oxford Education,wPAKyJL1TtM,UCnzdR4g0Ykb9hU9FQR4W0TA,Kerboodle teacher: Creating manual teaching groups,1814,0,1,1,80,-0.0572,1182.88856
Oxford Education,dRhhjw57aXA,UCnzdR4g0Ykb9hU9FQR4W0TA,Theory of Knowledge: Exploring Possibilities,1455,23,1,1,683,0.4404,720.4384439999999
Oxford Education,-0mnrhMaUZQ,UCnzdR4g0Ykb9hU9FQR4W0TA,Theory of Knowledge: Changes and Continuities,825,15,0,1,548,0.4902,409.503922
Oxford Education,bkNEVuilolg,UCnzdR4g0Ykb9hU9FQR4W0TA,New DP Mathematics: What is the mathematical toolkit?,1587,12,2,1,976,0.5106,781.286166
Oxford Education,NH4DOlVZA20,UCnzdR4g0Ykb9hU9FQR4W0TA,New DP Mathematics: Which course to choose?,2220,22,2,2,1188,0.1363,1175.99452
Oxford Education,D5kVFVwkdLs,UCnzdR4g0Ykb9hU9FQR4W0TA,MyMaths in action: Cumnor Primary School,11847,12,2,1,177,0.4404,5808.678443999999
Oxford Education,rVd5WnS7HIs,UCnzdR4g0Ykb9hU9FQR4W0TA,Take a peek at our digital evaluation copies,127,0,0,0,31,0.0,62.23
Oxford Education,kfEpy3doMKU,UCnzdR4g0Ykb9hU9FQR4W0TA,Cerrie Burnell reads The Girl with the Shark's Teeth,1727,17,0,1,208,0.0,879.5400000000001
Oxford Education,H05hh0wnsts,UCnzdR4g0Ykb9hU9FQR4W0TA,Explore new DP Mathematics Course Book packs from Oxford IB,3268,23,2,3,403,-0.23005,1648.030985
Oxford Education,Ibrj8pRX8Zg,UCnzdR4g0Ykb9hU9FQR4W0TA,DP Mathematics: Embed a concept-based approach,802,15,0,1,2610,0.7177,536.78708
Oxford Education,K6xAqL84rbM,UCnzdR4g0Ykb9hU9FQR4W0TA,A day in the life of a Marketing Campaign Coordinator,2023,21,2,3,157,0.45185,998.5997035
Oxford Education,JZthrNq3fuc,UCnzdR4g0Ykb9hU9FQR4W0TA,A day in the life of?a Children's Dictionary Publisher,1090,8,0,1,242,0.8016,560.18064
Oxford Education,k4ujOMz-x6o,UCnzdR4g0Ykb9hU9FQR4W0TA,Introducing Oxford Reading Buddy: A new digital reading service,13884,48,5,3,149,0.0,6818.119999999999
Oxford Education,unw-p1YPhus,UCnzdR4g0Ykb9hU9FQR4W0TA,Kenningtons Primary Academy: Why we chose Comprehension Express,709,9,0,1,154,0.0,470.45000000000005
CrashCourse,HQPA5oNpfM4,UCX6b17PVsYBQ0ip5gyeme-Q,The Columbian Exchange: Crash Course World History #23,3438465,31875,773,4391,729,0.117158281,1729999.3468633122
