channelId,videoId,channelTitle,title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,duration,time
UC640y4UvDAlya_WOj5U4pfA,lcpHTBWmJ6U,nptelhrd,NPTEL - Most Extensive & Most Viewed Education Channel in the World,96736,716,31,0,53,PT5M19S,319
UC640y4UvDAlya_WOj5U4pfA,HpIEeBtJupY,nptelhrd,mod01lec1-Introduction to metrology,82777,405,26,0,14,PT43M40S,2620
UC640y4UvDAlya_WOj5U4pfA,bfvUtSumLcE,nptelhrd,NPTEL Introduction,266663,465,38,0,53,PT10M25S,625
UC640y4UvDAlya_WOj5U4pfA,md5UCR7mcIY,nptelhrd,Mod-01 Lec-1 Introduction,401647,3135,88,0,149,PT52M45S,3165
UC640y4UvDAlya_WOj5U4pfA,Z9nfbVh5Wzk,nptelhrd,Mod-01 Lec-01 Thermodynamics  and the Chemical Industry,75797,241,12,0,13,PT38M10S,2290
UC640y4UvDAlya_WOj5U4pfA,dzsPmCLpqI4,nptelhrd,Mod-01 Lec-37 Boundary Layer Theory,152974,902,43,0,60,PT59M14S,3554
UC640y4UvDAlya_WOj5U4pfA,DFMf9oPbuRI,nptelhrd,Mod-01 Lec-01,123887,381,19,0,51,PT42M10S,2530
UC640y4UvDAlya_WOj5U4pfA,3bhoVSI6VoI,nptelhrd,Mod-01 Lec-24 Axial Flow Compressor Part I,78349,482,21,0,25,PT56M5S,3365
UC640y4UvDAlya_WOj5U4pfA,PJPzvPqf9YI,nptelhrd,Mod-01 Lec-16 Matching of Pump and System Characteristics,76284,483,25,0,8,PT30M59S,1859
UC640y4UvDAlya_WOj5U4pfA,OQV8WmUdeIo,nptelhrd,Simple Linear Regression(Part A),73639,307,8,0,21,PT55M21S,3321
UC640y4UvDAlya_WOj5U4pfA,LbHZeEL98nQ,nptelhrd,"Mod-01 Lec-01 Introduction ,Extended Real numbers",65710,341,10,0,37,PT55M49S,3349
UC640y4UvDAlya_WOj5U4pfA,_FTYrQtrDps,nptelhrd,Mod-01 Lec-01 INTRODUCTION,86981,403,4,0,37,PT34M55S,2095
UC640y4UvDAlya_WOj5U4pfA,1LubzKrjr68,nptelhrd,Mod-01 Lec-02 Linear Equations,102490,538,23,0,26,PT35M10S,2110
UC640y4UvDAlya_WOj5U4pfA,LJ-LoJhbBA4,nptelhrd,Mod-01 Lec-01 Introduction to the Course Contents.,272456,1147,31,0,76,PT26M47S,1607
UC640y4UvDAlya_WOj5U4pfA,zvRdbPMEMUI,nptelhrd,Mod-04 Lec-14 Linear Transformations,71570,515,27,0,22,PT50M10S,3010
UC640y4UvDAlya_WOj5U4pfA,VcLWubfmJcM,nptelhrd,Mod-01 Lec-03 Dochira kara desu ka ( Where are you from?),71165,557,28,0,46,PT55M32S,3332
UC640y4UvDAlya_WOj5U4pfA,AECBgmkWvo0,nptelhrd,Mod-01 Lec-01 Introduction,96202,452,6,0,25,PT39M29S,2369
UC640y4UvDAlya_WOj5U4pfA,RxbJo2kDRxE,nptelhrd,Mod-01 Lec-03 Magnetic Circuit,97155,597,15,0,9,PT49M18S,2958
UC640y4UvDAlya_WOj5U4pfA,vLPpF0hunwc,nptelhrd,Mod-01 Lec-01 Introduction to Managerial Economics,92822,377,31,0,21,PT45M23S,2723
UC640y4UvDAlya_WOj5U4pfA,mfePdDh9t6Q,nptelhrd,Mod-01 Lec-01 Principles of Pattern Recognition I (Introduction and Uses),90011,333,6,0,42,PT46M39S,2799
UC640y4UvDAlya_WOj5U4pfA,ebO38bbq0_4,nptelhrd,Mod-01 Lec-01 Introduction to Nanotechnology,76598,400,7,0,18,PT47M,2820
UC640y4UvDAlya_WOj5U4pfA,NBcGLLU90fM,nptelhrd,Mod-01 Lec-01 General Introduction,88359,400,14,0,23,PT59M59S,3599
UC640y4UvDAlya_WOj5U4pfA,mUWCnANvJdE,nptelhrd,Mod-01 Lec-23 Design of Retaining Wall,314818,1871,102,0,39,PT58M7S,3487
UC640y4UvDAlya_WOj5U4pfA,2T9s5i21yCs,nptelhrd,Mod-01 Lec-21 Well Foundation,82779,602,45,0,30,PT55M48S,3348
UC640y4UvDAlya_WOj5U4pfA,qxNTQozl5fE,nptelhrd,Mod-01 Lec-03 Vehicle Load Distribution Ã? Acceleration and Braking,69279,293,10,0,38,PT47M45S,2865
UC640y4UvDAlya_WOj5U4pfA,539Bk9fFOyo,nptelhrd,Mod-01 Lec-02 Introduction to finite automaton.,69534,309,10,0,27,PT1H1M5S,4205
UC640y4UvDAlya_WOj5U4pfA,q01b-lV6y5Q,nptelhrd,Mod-01 Lec-02 Analytic functions of a complex variable (Part II),79026,463,11,0,47,PT42M8S,2528
UC640y4UvDAlya_WOj5U4pfA,b5VUnapu-qs,nptelhrd,Mod-01 Lec-01 Analytic functions of a complex variable (Part I),328397,2233,71,0,100,PT37M1S,2221
UC640y4UvDAlya_WOj5U4pfA,o77UV7YrWvw,nptelhrd,Mod-02 Lec-03 Calculus of residues (Part I),78464,469,16,0,42,PT40M22S,2422
UC640y4UvDAlya_WOj5U4pfA,SRVswRH5Q7E,nptelhrd,Mod-01 Lec-29 Support Vector Machine,65672,470,13,0,59,PT55M10S,3310
UC640y4UvDAlya_WOj5U4pfA,eNQTnPXNIFA,nptelhrd,Mod-01 Lec-01 Introduction to multivariate statistical modeling,76001,268,12,0,20,PT1H2M54S,3774
UC640y4UvDAlya_WOj5U4pfA,hkCT-6KJAK0,nptelhrd,Mod-01 Lec-30  Principal Component Analysis (PCA),72185,369,19,0,40,PT1H3M17S,3797
UC640y4UvDAlya_WOj5U4pfA,52nI2IPyOu8,nptelhrd,State Space Search - Introduction,67172,277,15,0,19,PT54M3S,3243
UC640y4UvDAlya_WOj5U4pfA,hwYzBBkkhyU,nptelhrd,Mod-01 Lec-13 Miller Indices,133273,687,50,0,26,PT56M59S,3419
UC640y4UvDAlya_WOj5U4pfA,TbLJqifPXKM,nptelhrd,"Mod-01 Lec-04 Crystal structure, Reciprocal lattice I",89789,529,29,0,28,PT58M51S,3531
UC640y4UvDAlya_WOj5U4pfA,6LoWEs8z1A4,nptelhrd,Mod-01 Lec-02 Nuclear Size,88447,649,10,0,46,PT58M49S,3529
UC640y4UvDAlya_WOj5U4pfA,josqjcH79PE,nptelhrd,Mod-01 Lec-01 -Brief Overview of the course,227873,1634,28,0,100,PT53M34S,3214
UC640y4UvDAlya_WOj5U4pfA,3bwcXPmF2VA,nptelhrd,Mod-01 Lec-17 Shell model,80161,520,25,0,28,PT53M36S,3216
UC640y4UvDAlya_WOj5U4pfA,cx5gPKp9QEc,nptelhrd,Cement: Production and Composition,173723,831,33,0,29,PT1H7S,3607
UC640y4UvDAlya_WOj5U4pfA,m2B8t8vzeUE,nptelhrd,Introduction to Welding Engineering,84665,362,22,0,10,PT1H27M44S,5264
UC640y4UvDAlya_WOj5U4pfA,Xt1zAWbccIQ,nptelhrd,Mod-01 Lec-03 Vectors and Tensors,78972,517,20,0,27,PT1H,1
UC640y4UvDAlya_WOj5U4pfA,6ju8mig4VoU,nptelhrd,Mod-01 Lec-01 Introduction and course overview,81473,297,13,0,6,PT42M56S,2576
UC640y4UvDAlya_WOj5U4pfA,5OxdXq91TV0,nptelhrd,"Mod-01 Lec-01 Introduction, Basic definition of corrosion",152576,556,41,0,32,PT56M59S,3419
UC640y4UvDAlya_WOj5U4pfA,UlRNHEMSGQE,nptelhrd,Mod-01 Lec-01 Lecture 1,95227,687,16,0,45,PT1H32M57S,5577
UC640y4UvDAlya_WOj5U4pfA,OxIQhyAn9JE,nptelhrd,Mod-01 Lec-02 DC -- DC converters,149669,715,43,0,34,PT54M6S,3246
UC640y4UvDAlya_WOj5U4pfA,_gJPYgQQ01c,nptelhrd,Mod-01 Lec-01 Electronic switches,93525,402,7,0,39,PT57M56S,3476
UC640y4UvDAlya_WOj5U4pfA,Dg5AIy0bY1A,nptelhrd,Mod-01 Lec-03 DC -- AC converters,117565,531,41,0,23,PT57M57S,3477
UC640y4UvDAlya_WOj5U4pfA,KR74TQesUoQ,nptelhrd,Mod-01 Lec-01 Introduction to Finite Element Method,289597,1303,30,0,71,PT49M5S,2945
UC640y4UvDAlya_WOj5U4pfA,_-5W9RvrjvA,nptelhrd,Mod-01 Lec-04 Introduction to Finite Element Method,91587,369,5,0,35,PT49M45S,2985
UC640y4UvDAlya_WOj5U4pfA,9Sf278j1GTU,nptelhrd,Mod-01 Lec-01 Introduction,95505,235,11,0,16,PT53M49S,3229
UC640y4UvDAlya_WOj5U4pfA,5vaYfd0fekI,nptelhrd,Mod-01 Lec-23 Iron-Carbon Phase Diagram,491392,2934,153,0,94,PT55M33S,3333
UC640y4UvDAlya_WOj5U4pfA,44NXK9_h3wE,nptelhrd,Mod-01 Lec-37 Proofs in Indian Mathematics - Part 2,67275,618,23,0,51,PT47M47S,2867
UC640y4UvDAlya_WOj5U4pfA,Yf_4Qv-A55Q,nptelhrd,Mod-01 Lec-01 Wave Paticle Duality,120646,802,20,0,37,PT47M7S,2827
UC640y4UvDAlya_WOj5U4pfA,zVi5hx37yvw,nptelhrd,Mod-01 Lec-01 What is sociology?,197334,1914,36,0,107,PT54M32S,3272
UC640y4UvDAlya_WOj5U4pfA,Mwpz1zjPlzI,nptelhrd,Mod-01 Introduction,177355,670,10,0,32,PT39M20S,2360
UC640y4UvDAlya_WOj5U4pfA,EyREi7l5020,nptelhrd,Mod-01 Lec-01 Introduction to Mass Transfer,128397,319,22,0,34,PT45M45S,2745
UC640y4UvDAlya_WOj5U4pfA,N01BYteinzE,nptelhrd,Context and Scope of the Course,96444,361,4,0,14,PT52M27S,3147
UC640y4UvDAlya_WOj5U4pfA,qcE2Wcpm05k,nptelhrd,Energy Bands in Solids,109528,842,22,0,67,PT53M25S,3205
UC640y4UvDAlya_WOj5U4pfA,BzkpfwR9bU0,nptelhrd,Schottky Junction and Ohmic Contacts,86613,906,22,0,62,PT56M21S,3381
UC640y4UvDAlya_WOj5U4pfA,TPm0XSPxld8,nptelhrd,Lecture - 1 Introduction to Communication Engineering,290979,686,40,0,45,PT56M25S,3385
UC640y4UvDAlya_WOj5U4pfA,#NAME?,nptelhrd,Mod-01 Lec-01 Understanding Organizational Behaviour,76163,296,20,0,22,PT59M7S,3547
UC640y4UvDAlya_WOj5U4pfA,0TZUHuPdnKA,nptelhrd,Mod-01 Lec-08 Exchange Rate Arithmetic,68406,454,33,0,27,PT1H2M55S,3775
UC640y4UvDAlya_WOj5U4pfA,_Ckh-60B6LY,nptelhrd,Mod-01 Lec-01 Principles of Condensed Matter Physics,85801,351,14,0,28,PT28M51S,1731
UC640y4UvDAlya_WOj5U4pfA,Cj2M-T5HTsE,nptelhrd,Stage Manners,79059,508,21,0,17,PT49M54S,2994
UC640y4UvDAlya_WOj5U4pfA,osbozn9iV3g,nptelhrd,Feedback on Presentations I,83956,484,12,0,26,PT46M54S,2814
UC640y4UvDAlya_WOj5U4pfA,0AM35Nu5McY,nptelhrd,Introduction,466915,4090,109,0,97,PT49M30S,2970
UC640y4UvDAlya_WOj5U4pfA,Bef8QjIjCy0,nptelhrd,Mod-01 Lec-01 Rational Numbers and Rational Cuts,90053,353,13,0,26,PT52M37S,3157
UC640y4UvDAlya_WOj5U4pfA,fa0zHI6nLUo,nptelhrd,Mod-01 Lec-01 Introduction and Fundamental Concepts - I,760670,2432,74,0,198,PT51M58S,3118
UC640y4UvDAlya_WOj5U4pfA,5H0euuo1PGQ,nptelhrd,Mod-10 Lec-10 Kinematics of Fluid Part - I,101710,485,10,0,32,PT53M26S,3206
UC640y4UvDAlya_WOj5U4pfA,vXPtNNLEOUc,nptelhrd,Mod-04 Lec-04 Fluid Statics Part - I,159352,587,12,0,55,PT54M1S,3241
UC640y4UvDAlya_WOj5U4pfA,KUDhXlnr-gU,nptelhrd,Mod-01 Lec-01 Introduction to Stochastic Processes,75185,149,20,0,28,PT55M11S,3311
UC640y4UvDAlya_WOj5U4pfA,9ujT1upyWVg,nptelhrd,Mod-01 Lec-02 Wireless Channel and Fading,92997,295,17,0,40,PT56M20S,3380
UC640y4UvDAlya_WOj5U4pfA,#NAME?,nptelhrd,Mod-01 Lec-01 Introduction to 3G/4G Standards,216199,696,28,0,52,PT57M45S,3465
UC640y4UvDAlya_WOj5U4pfA,wO2HS7hcSb8,nptelhrd,Mod-01 Lec-01 Introduction to Plasmas,90482,615,14,0,37,PT56M55S,3415
UC640y4UvDAlya_WOj5U4pfA,splvwSMAKd0,nptelhrd,Mod-01 Lec-01Lecture-01,125322,487,16,0,19,PT59M28S,3568
UC640y4UvDAlya_WOj5U4pfA,eLTpf_5di2o,nptelhrd,Mod-01 Lec-01 Lecture 1,72783,162,7,0,6,PT50M23S,3023
UC640y4UvDAlya_WOj5U4pfA,GiPOQC5nYMs,nptelhrd,Mod-01 Lec-01 Calculus of Variations and Integral Equations,70179,163,20,0,18,PT57M50S,3470
UC640y4UvDAlya_WOj5U4pfA,pGerRhxNQJE,nptelhrd,Mod-01 Lec-01 Quantum Mechanics -- An Introduction,259914,1678,71,0,149,PT49M33S,2973
UC640y4UvDAlya_WOj5U4pfA,zdouC7ZNTJ0,nptelhrd,Mod-01 Lec-36 Perturbation Theory - I,99481,806,20,0,54,PT52M51S,3171
UC640y4UvDAlya_WOj5U4pfA,F3ATYBGC_tY,nptelhrd,Mod-01 Lec-02 Linear Vector Spaces - I,82730,434,13,0,56,PT1H4M15S,3855
UC640y4UvDAlya_WOj5U4pfA,ddJg3gzYEb8,nptelhrd,Mod-01 Lec-01 Introduction to Indian Philosophy,101450,748,40,0,95,PT47M29S,2849
UC640y4UvDAlya_WOj5U4pfA,_oxnYV6y51w,nptelhrd,Mod-01 Lec-01 Introduction to Linear Block Codes,86240,205,15,0,16,PT1H3M24S,3804
UC640y4UvDAlya_WOj5U4pfA,_6796gj7-Gw,nptelhrd,Mod-01 Lec-01 Lecture-01-Introduction to Gas Dynamics & Review of Basic Thermodynamics,125866,360,22,0,27,PT50M36S,3036
UC640y4UvDAlya_WOj5U4pfA,G4YHzSmT3qU,nptelhrd,Mod-01 Lec-01 Motivation for CFD and Introduction to the CFD approach,67462,236,6,0,11,PT57M29S,3449
UC640y4UvDAlya_WOj5U4pfA,yP7OACmLP48,nptelhrd,Mod-01 Lec-01 Lecture-01-High Voltage DC Transmission,104986,376,15,0,18,PT52M30S,3150
UC640y4UvDAlya_WOj5U4pfA,cneuckplrtI,nptelhrd,Mod-01 Lec-13 Lecture-13-Three Phase Transformer Phase Groups Part - I,78103,277,35,0,24,PT54M10S,3250
UC640y4UvDAlya_WOj5U4pfA,JPhCxbxPHbo,nptelhrd,Mod-01 Lec-05 Lecture-05-Testing of Single Phase Transformers,94705,209,8,0,21,PT57M14S,3434
UC640y4UvDAlya_WOj5U4pfA,NiHPu5PltCY,nptelhrd,Mod-01 Lec-21 Lecture-21-Operating Principles of DC Machines,132853,468,33,0,53,PT55M52S,3352
UC640y4UvDAlya_WOj5U4pfA,KdH2-rKEyNY,nptelhrd,Mod-01 Lec-01 Introduction to Helicopter Aerodynamics and Dynamics,65998,398,5,0,25,PT1H12M44S,4364
UC640y4UvDAlya_WOj5U4pfA,sVRVT84VQVw,nptelhrd,Mod-01 Lec-02 Lecture-02-Introduction to Process Control (Contd.),66639,184,8,0,8,PT56M52S,3412
UC640y4UvDAlya_WOj5U4pfA,m4sjTt7rhow,nptelhrd,"Mod-04 Lec-16 Feedback in amplifiers, Feedback Configurations and multi stage amplifiers",89189,559,24,0,16,PT54M,3240
UC640y4UvDAlya_WOj5U4pfA,Jlzo8OzoZ_c,nptelhrd,Mod-01 Lec-01  Introduction,146186,628,16,0,43,PT56M53S,3413
UC640y4UvDAlya_WOj5U4pfA,KUDGGsyh1Hs,nptelhrd,Mod-01 Lec-01 RF system basic architectures,100544,340,11,0,30,PT58M19S,3499
UC640y4UvDAlya_WOj5U4pfA,k9dhcfIyOFc,nptelhrd,Mod-02 Lec-02 Forecasting -- Time series models -- Simple Exponential smoothing,235533,1089,49,0,110,PT53M1S,3181
UC640y4UvDAlya_WOj5U4pfA,KA8jr4GLzhI,nptelhrd,Mod-07 Lec-31 Line Balancing,81651,369,23,0,19,PT53M9S,3189
UC640y4UvDAlya_WOj5U4pfA,e1yUVLKhcko,nptelhrd,"Mod-02 Lec-03 Forecasting -- Linear Models, Regression, Holt's , seasonality",67037,335,6,0,27,PT53M40S,3220
UC640y4UvDAlya_WOj5U4pfA,Gc8emFk-2vc,nptelhrd,Mod-01 Lec-01 Introduction: Vertex cover and independent set,75847,148,15,0,27,PT56M13S,3373
UC640y4UvDAlya_WOj5U4pfA,Q-HugPvA7GQ,nptelhrd,Introduction,213332,324,25,0,34,PT59M3S,3543
UC640y4UvDAlya_WOj5U4pfA,#NAME?,nptelhrd,Mod-01 Lec-01 EFM Course Outline,76708,221,7,0,18,PT48M59S,2939
UC640y4UvDAlya_WOj5U4pfA,zgX6S7tEScI,nptelhrd,Mod-01 Lec-03 Dirac Delta Function & Fourier Transforms,71341,614,11,0,38,PT58M17S,3497
UC640y4UvDAlya_WOj5U4pfA,s4CN6aVKhPo,nptelhrd,Mod-01 Lec-01 Review of Basic Structural Analysis I,287244,1161,46,0,36,PT52M22S,3142
